tr @ epoch 272/300 | Loss 0.001034 | 8.25 (s)
tr @ epoch 273/300 | Loss 0.001035 | 8.25 (s)
tr @ epoch 274/300 | Loss 0.001034 | 8.25 (s)
tr @ epoch 275/300 | Loss 0.001035 | 8.27 (s)
tr @ epoch 276/300 | Loss 0.001036 | 8.26 (s)
tr @ epoch 277/300 | Loss 0.001030 | 8.26 (s)
tr @ epoch 278/300 | Loss 0.001032 | 8.27 (s)
tr @ epoch 279/300 | Loss 0.001034 | 8.27 (s)
tr @ epoch 280/300 | Loss 0.001031 | 8.27 (s)
tr @ epoch 281/300 | Loss 0.001036 | 8.28 (s)
tr @ epoch 282/300 | Loss 0.001033 | 8.27 (s)
tr @ epoch 283/300 | Loss 0.001035 | 8.26 (s)
tr @ epoch 284/300 | Loss 0.001031 | 8.26 (s)
tr @ epoch 285/300 | Loss 0.001033 | 8.26 (s)
te @ epoch 285/300 | Loss 0.001066 | 0.75 (s)
tr @ epoch 286/300 | Loss 0.001033 | 8.26 (s)
tr @ epoch 287/300 | Loss 0.001039 | 8.26 (s)
tr @ epoch 288/300 | Loss 0.001033 | 8.26 (s)
tr @ epoch 289/300 | Loss 0.001035 | 8.26 (s)
tr @ epoch 290/300 | Loss 0.001033 | 8.26 (s)
tr @ epoch 291/300 | Loss 0.001033 | 8.25 (s)
tr @ epoch 292/300 | Loss 0.001034 | 8.26 (s)
tr @ epoch 293/300 | Loss 0.001035 | 8.25 (s)
tr @ epoch 294/300 | Loss 0.001030 | 8.25 (s)
tr @ epoch 295/300 | Loss 0.001033 | 8.26 (s)
tr @ epoch 296/300 | Loss 0.001033 | 8.25 (s)
tr @ epoch 297/300 | Loss 0.001033 | 8.25 (s)
tr @ epoch 298/300 | Loss 0.001035 | 8.26 (s)
tr @ epoch 299/300 | Loss 0.001030 | 8.25 (s)
tr @ epoch 300/300 | Loss 0.001028 | 8.25 (s)
te @ epoch 300/300 | Loss 0.001065 | 0.76 (s)
